"n","bias","nSims","differencePower","difficultyPower","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
10,0.4,50,0.04,0.26,0.02,0.119669546806231,0.131644709218906,0.215390294782535,0.175105885341183,0.0939422776195995,0.106148304948445
20,0.4,50,0.06,0.42,0.14,0.0655006816596546,0.0675842066785925,0.166892432744011,0.130229949267142,0.0836460168233251,0.0950658250670861
30,0.4,50,0.08,0.68,0.1,0.0472837807683871,0.0560363273526654,0.177037938451461,0.111576989454875,0.0577335735006539,0.0712530732030382
40,0.4,50,0.16,0.82,0.24,0.0441727521028908,0.0557956843954791,0.172228199667625,0.100241816746746,0.0590584142064984,0.0610848219806549
50,0.4,50,0.14,0.84,0.1,0.0383280357617433,0.045736196955627,0.158743894811773,0.0867989121057596,0.0352765424403249,0.0409342485785029
10,0.5,50,0.1,0.24,0.1,0.145572864198584,0.154034099506461,0.232980482635317,0.17010247505119,0.124274485408574,0.152328010774663
20,0.5,50,0.2,0.56,0.12,0.113331126919502,0.101164627932966,0.217079400598713,0.124506424783235,0.0940447240459182,0.118570829317271
30,0.5,50,0.3,0.7,0.12,0.102922185845693,0.0848481164675241,0.196569179236976,0.101788495183234,0.0553674334845868,0.0536407737603804
40,0.5,50,0.52,0.74,0.32,0.107842372842532,0.083399802985352,0.178766951690795,0.0982447487966651,0.0752634636671131,0.0743719259168948
50,0.5,50,0.48,0.92,0.36,0.0891222349888503,0.0611184279685911,0.193672966831738,0.0865656492703214,0.0667048112442859,0.0543741620099901
10,0.6,50,0.28,0.22,0.06,0.225676134153471,0.191677856064427,0.221960610620382,0.166642643756233,0.137163833850829,0.142163471394628
20,0.6,50,0.34,0.76,0.16,0.17389068213335,0.133986497821733,0.276058868356295,0.109337966167472,0.0960921688837715,0.109970152463033
30,0.6,50,0.5,0.88,0.28,0.141869045281869,0.087241736010978,0.230359094276024,0.0958092171436023,0.0987004415591646,0.0888255547654762
40,0.6,50,0.66,0.92,0.4,0.158688212650789,0.0937942420794307,0.237547423851864,0.111586750651688,0.0890318293134255,0.0734037196149559
50,0.6,50,0.88,0.96,0.48,0.175458125592117,0.0841475677616953,0.214931689263202,0.0861669539232139,0.0835492762627747,0.0713925615138872
10,0.7,50,0.32,0.32,0.18,0.287757589788154,0.195615504199316,0.293200078192108,0.204086943004857,0.17128012946456,0.173790736730877
20,0.7,50,0.66,0.68,0.32,0.25258677508398,0.123770797118428,0.279147702620953,0.135693204409484,0.15498372993253,0.128952651236706
30,0.7,50,0.8,0.88,0.6,0.234380065998737,0.105003490233441,0.28066828300107,0.110959374922551,0.143798105794451,0.0846618507830173
40,0.7,50,0.92,0.98,0.54,0.229328291789071,0.0767975005076063,0.277267390000237,0.117686223127327,0.11133932148947,0.0705096776738015
50,0.7,50,0.94,0.98,0.6,0.204739166902661,0.0757883480049836,0.259026284216931,0.0884923835620544,0.10208941953851,0.069543529911484
60,0.4,50,0.18,0.9,0.28,0.0419289085977152,0.0356272386191231,0.153734477131802,0.0772040885901213,0.0470746384205624,0.0438716790286129
70,0.4,50,0.4,0.92,0.32,0.0464994566386171,0.0446384618082346,0.148460573494266,0.0594054939422688,0.0416497308227536,0.0427314215888031
80,0.4,50,0.38,0.94,0.4,0.0469484478373111,0.0455257931664173,0.144570314985047,0.0636486188751435,0.0456265495574127,0.0443084082103792
90,0.4,50,0.36,1,0.42,0.0447546363659363,0.0384116249291078,0.149985276891926,0.0610146358067172,0.0441916980236828,0.0387943413207143
100,0.4,50,0.3,0.96,0.32,0.0383149304288906,0.034314679790225,0.137312500454794,0.0614549687214345,0.0363508837632348,0.0371807797257519
60,0.5,50,0.5,0.94,0.34,0.0888468044267857,0.0506786856465627,0.183125946604253,0.0830703222621644,0.0641958764047775,0.0506214321595316
70,0.5,50,0.68,0.98,0.52,0.0971566454446873,0.0499322430663548,0.166637288529889,0.0816106512825334,0.0654268286665403,0.0493580168408372
80,0.5,50,0.72,1,0.44,0.0880892004886317,0.0532115935702106,0.177605691375021,0.0629193106349381,0.0489819222116761,0.0372834746218696
90,0.5,50,0.7,1,0.6,0.0882162904321087,0.053533246397321,0.175113162767161,0.0631101193563731,0.0588490893746594,0.0378977997563162
100,0.5,50,0.74,1,0.62,0.0877754423904751,0.0477102821313581,0.171008117342824,0.0612263256627777,0.0567908955202071,0.0393157794681722
60,0.6,50,0.92,0.96,0.62,0.14906719872142,0.0692951587420092,0.219949311753753,0.0807407843333049,0.0948947836664677,0.0633597025311388
70,0.6,50,0.94,1,0.72,0.151776329988643,0.0599495847535626,0.207968026916997,0.0653510359949504,0.0887808409244584,0.0576100161022362
80,0.6,50,0.9,1,0.74,0.128869410848444,0.0586494726676739,0.227855202944304,0.069777348157485,0.0794950691648687,0.0455598201610254
90,0.6,50,0.96,1,0.68,0.142732372540303,0.0643436849095935,0.220433887248448,0.0664005681063366,0.0900863058515442,0.0594793782120688
100,0.6,50,0.94,1,0.84,0.133068027395421,0.0474849733268609,0.200327896753144,0.0579805441568782,0.0782363338530711,0.0395692917245402
60,0.7,50,0.96,1,0.7,0.199446012750117,0.0732773952210033,0.258430393415987,0.0807283193925336,0.111190579235295,0.0653925442627718
70,0.7,50,1,1,0.82,0.236788979321984,0.0749669139704112,0.273907871346282,0.0835343686385882,0.112070761566496,0.0562614454299634
80,0.7,50,1,1,0.9,0.219925655253922,0.063866435458313,0.275522878366728,0.0614887208908887,0.119701604512786,0.0580160806556604
90,0.7,50,0.96,1,0.94,0.206433026110581,0.0689986897324626,0.236758241242205,0.0758218782465938,0.120504748664395,0.0562859564993446
100,0.7,50,1,1,0.92,0.229902552079086,0.0662691272581159,0.254482865781642,0.0658488199702441,0.110376495156078,0.053472509148069
10,0.8,50,0.46,0.44,0.28,0.337965876475934,0.202659651186195,0.353411050219348,0.178525859109964,0.226709905792052,0.189423479612726
20,0.8,50,0.88,0.74,0.54,0.337436398954408,0.119996710061819,0.317736470410389,0.152450206121891,0.184727777430942,0.132779447154965
30,0.8,50,0.98,0.94,0.62,0.323912705926225,0.0917682622587538,0.29199624817981,0.121637798127443,0.177024875399029,0.114654192400208
40,0.8,50,1,1,0.76,0.299840442093676,0.087169117293655,0.325613919653306,0.105335511552253,0.160182290662979,0.0944723212540622
50,0.8,50,1,1,0.86,0.310154175652041,0.081182457722414,0.303243621542987,0.092565145644917,0.186221134800396,0.0987455505569633
10,0.9,50,0.7,0.6,0.34,0.424332212928366,0.16660074572183,0.416128929362144,0.174664975951186,0.295996876726964,0.212360255150157
20,0.9,50,0.96,0.88,0.66,0.404540777020987,0.108784595453613,0.340413901316648,0.144745026123591,0.273341596132689,0.160293036080029
30,0.9,50,1,1,0.76,0.379020956752701,0.0958951947323867,0.362418824578737,0.115684074762064,0.203872335647776,0.111977384333241
40,0.9,50,1,0.98,0.86,0.390835816119586,0.101042682073543,0.350135798732998,0.124221517260646,0.204006703116176,0.101035498109168
50,0.9,50,1,1,0.92,0.371686539617746,0.0702354731611741,0.367808218422361,0.0968615068071136,0.198698586096774,0.0811619753988169
10,1,50,0.76,0.74,0.36,0.482851557799798,0.148420970671278,0.417025247767082,0.155992534222582,0.302862562931394,0.168278201895641
20,1,50,0.98,0.94,0.8,0.45887200094771,0.133611602025313,0.406816863244011,0.144861686796307,0.305081810004373,0.145672049220131
30,1,50,1,1,0.82,0.4584311686802,0.0899219398982159,0.425123508148897,0.125708931071515,0.254636009044218,0.116087214852413
40,1,50,1,1,0.94,0.44992969021476,0.078682000717179,0.416309341071278,0.103657955225364,0.286614418855477,0.115541272218111
50,1,50,1,1,1,0.45224807689877,0.0771907263305922,0.397120344509682,0.0867745318512869,0.255199461202745,0.0908832855507728
