"n","bias","nSims","differencePower","difficultyPower","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
60,0.8,50,0.98,1,0.84,0.287507933526466,0.0742949195064954,0.285918945772865,0.0783571602167164,0.156092087670086,0.0731274249827892
70,0.8,50,0.98,1,0.98,0.307771534740113,0.0674565785718679,0.296549795004206,0.0814618415022028,0.165861494560459,0.0690854837002291
80,0.8,50,1,1,0.98,0.289202452147838,0.0610656478728434,0.301691796564719,0.0748995974085508,0.15981136976035,0.0692099249702537
90,0.8,50,1,1,0.98,0.297684379110471,0.0532491700213547,0.301195355873817,0.0666428077743184,0.158789949121025,0.0553439526055158
100,0.8,50,1,1,0.98,0.30408194911045,0.0544487504602831,0.28661782957001,0.0647346230185208,0.14411216519026,0.0569756990798233
60,0.9,50,1,1,0.98,0.376681072004572,0.06348326414428,0.343938051794573,0.0731924766409823,0.199202340519564,0.0724643069243452
70,0.9,50,1,1,0.98,0.362493892464044,0.062923495458456,0.322960201780497,0.0775929845654296,0.217729492902343,0.074522815913528
80,0.9,50,1,1,1,0.37566441912196,0.0643690133089234,0.360021785160339,0.0681156469512654,0.215205546313219,0.0625475942529633
90,0.9,50,1,1,1,0.356587220430495,0.0642225471072542,0.340344619810414,0.0721452349923066,0.203932870635259,0.0701343776698992
100,0.9,50,1,1,1,0.372137563520773,0.056588401451922,0.348702184362856,0.059761657557358,0.208974480923667,0.0694173704415307
60,1,50,1,1,1,0.45110309676653,0.0574581107014489,0.383380241714614,0.0703717397916195,0.262199015686306,0.0807261685116947
70,1,50,1,1,1,0.438309891447056,0.0641617778743351,0.412504302923296,0.0774174651443408,0.292412084492532,0.0826577682834395
80,1,50,1,1,1,0.431116076175669,0.0621162886712766,0.378038434962756,0.067780299804369,0.256747635339296,0.0695934177357324
90,1,50,1,1,1,0.445264905250419,0.0543379557902759,0.387733284227706,0.0664089938630542,0.270231625964282,0.069083025060177
100,1,50,1,1,1,0.451287243062669,0.0529251587642718,0.392350706114117,0.0590230401485729,0.259736980648251,0.0639999886406484
