"n","bias","nSims","differencePower","difficultyPower","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
60,0.4,50,0.18,0.9,0.28,0.0419289085977152,0.0356272386191231,0.153734477131802,0.0772040885901213,0.0470746384205624,0.0438716790286129
70,0.4,50,0.4,0.92,0.32,0.0464994566386171,0.0446384618082346,0.148460573494266,0.0594054939422688,0.0416497308227536,0.0427314215888031
80,0.4,50,0.38,0.94,0.4,0.0469484478373111,0.0455257931664173,0.144570314985047,0.0636486188751435,0.0456265495574127,0.0443084082103792
90,0.4,50,0.36,1,0.42,0.0447546363659363,0.0384116249291078,0.149985276891926,0.0610146358067172,0.0441916980236828,0.0387943413207143
100,0.4,50,0.3,0.96,0.32,0.0383149304288906,0.034314679790225,0.137312500454794,0.0614549687214345,0.0363508837632348,0.0371807797257519
60,0.5,50,0.5,0.94,0.34,0.0888468044267857,0.0506786856465627,0.183125946604253,0.0830703222621644,0.0641958764047775,0.0506214321595316
70,0.5,50,0.68,0.98,0.52,0.0971566454446873,0.0499322430663548,0.166637288529889,0.0816106512825334,0.0654268286665403,0.0493580168408372
80,0.5,50,0.72,1,0.44,0.0880892004886317,0.0532115935702106,0.177605691375021,0.0629193106349381,0.0489819222116761,0.0372834746218696
90,0.5,50,0.7,1,0.6,0.0882162904321087,0.053533246397321,0.175113162767161,0.0631101193563731,0.0588490893746594,0.0378977997563162
100,0.5,50,0.74,1,0.62,0.0877754423904751,0.0477102821313581,0.171008117342824,0.0612263256627777,0.0567908955202071,0.0393157794681722
