"n","bias","nSims","differencePower","difficultyPower","difficultyPowerConstrained","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
60,0.4,50,0.06,0.92,0.1,0.04,0.0183246979850874,0.0266851713106272,0.166886211205205,0.081712896077949,0.0206054833831357,0.0299375590321825
70,0.4,50,0.12,0.94,0.02,0.04,0.0194610740255668,0.0302864862339982,0.161469122515641,0.0873870903241184,0.0137873140164731,0.017168670587251
80,0.4,50,0.02,0.98,0.14,0.12,0.0104896601919599,0.0160870987074294,0.162079240602299,0.0667420972728803,0.0158153062174273,0.0233031817068233
90,0.4,50,0.06,1,0.2,0.08,0.0113331808681327,0.0162932147664439,0.171935093955716,0.0553731801938839,0.0122792120715846,0.0186050313983838
100,0.4,50,0.06,0.98,0.14,0.1,0.0103725375910337,0.0138856282189295,0.145361674984523,0.0580722608937673,0.0136094258494923,0.0204874328373902
60,0.5,50,0.06,0.96,0.18,0.08,0.016015901094665,0.0227359673157062,0.186464015996154,0.0854810613155331,0.0225175799373405,0.0285547313873093
70,0.5,50,0.1,1,0.12,0.12,0.0161386554946871,0.0344408094245562,0.172561800756039,0.049910124735812,0.0251579426661262,0.0309159094948398
80,0.5,50,0.02,1,0.16,0.06,0.011078945902723,0.0192353333715292,0.167886402709182,0.0680720054713322,0.0132782369953879,0.0175071574661261
90,0.5,50,0.04,1,0.24,0.1,0.0114518367565524,0.0128997555886104,0.199601006615037,0.0712323801030781,0.0160442500094661,0.0174702602773664
100,0.5,50,0.06,1,0.24,0.08,0.00983510163687678,0.014829187827173,0.198963841407943,0.069243791137733,0.0138448868200022,0.0163336844759908
