"n","bias","nSims","differencePower","difficultyPower","difficultyPowerConstrained","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
10,0.4,50,0.06,0.2,0.02,0.1,0.0986827637773339,0.12286435500235,0.213414639527041,0.169913031237195,0.106925071934197,0.139980250941476
20,0.4,50,0,0.48,0,0.08,0.0313722800810433,0.0347595929815192,0.174821992720397,0.125700186676428,0.056536230902265,0.078719021678983
30,0.4,50,0.04,0.62,0,0.04,0.0393889441035481,0.0367526794409192,0.164805130644424,0.104760792895153,0.0349603996569796,0.0439316779974786
40,0.4,50,0.04,0.76,0.06,0.12,0.0255974595339286,0.0318335994124841,0.176040678476252,0.102778298056742,0.0367498517716648,0.0456065665690993
50,0.4,50,0.02,0.82,0.08,0.04,0.0185578216597381,0.0261125015953619,0.152336965598603,0.0767465589027228,0.0181339673755496,0.0306888409300196
10,0.5,50,0.06,0.3,0,0.06,0.132419278325275,0.14776237886347,0.2472201723198,0.177951866211542,0.118561022760978,0.154409873612109
20,0.5,50,0,0.58,0,0.04,0.0474031856226374,0.0500411093710666,0.221416345644793,0.115158859956844,0.050414329875957,0.0621279805339284
30,0.5,50,0.06,0.68,0,0.08,0.0360662488690992,0.059115108172664,0.204750948641881,0.120797954368279,0.0444789964373412,0.068541583841525
40,0.5,50,0,0.8,0.02,0.04,0.0211445183950735,0.0213177643865568,0.193022664416717,0.0931736975755827,0.0282507156620552,0.0406964278029251
50,0.5,50,0.06,0.92,0.04,0.12,0.0218562820163505,0.0276115336129535,0.196861274663285,0.0864754562034668,0.0292055421908526,0.0372827617358203
10,0.6,50,0.02,0.28,0,0.04,0.0854572523285454,0.111712277787333,0.25297589518996,0.177555510593418,0.113018257053575,0.113127748328428
20,0.6,50,0.12,0.7,0.02,0.06,0.0577180043971027,0.0738362178557721,0.253520772819308,0.134650900570788,0.0502178506976841,0.0660420618898031
30,0.6,50,0.04,0.78,0.04,0.08,0.0318835689658092,0.0398477054154405,0.212837002872097,0.0996693361933151,0.0414806010507458,0.0531586292199574
40,0.6,50,0,0.9,0,0.14,0.0228677941240365,0.0251676901436914,0.208121202541239,0.0810154661415757,0.0390828741847288,0.0517161936695384
50,0.6,50,0.06,1,0.14,0.1,0.0259564747498487,0.0283752915665871,0.267914325883971,0.0720113390944511,0.0244162137028063,0.0306200241059105
10,0.7,50,0.04,0.38,0,0.02,0.124143706851283,0.135689590310107,0.310733635052816,0.213840551568992,0.0902515571633716,0.101321316876183
20,0.7,50,0.02,0.7,0.1,0.08,0.0486445040486575,0.0565349661368803,0.291624368839458,0.139660834656396,0.0536061119561425,0.0612044284758794
30,0.7,50,0.02,0.96,0.12,0.08,0.0311142819981241,0.0324634901731133,0.291565285017513,0.107709391011713,0.0408601608722078,0.0538884024564674
40,0.7,50,0.04,0.98,0.2,0.08,0.0202565531393168,0.0260196847041809,0.275043633494577,0.0791280058286903,0.0286930957903491,0.036914112680886
50,0.7,50,0.02,0.98,0.2,0.1,0.0200832830181793,0.0255142250309817,0.292850602707214,0.0844830671499547,0.028751227366849,0.0321481119946078
60,0.4,50,0.06,0.92,0.1,0.04,0.0183246979850874,0.0266851713106272,0.166886211205205,0.081712896077949,0.0206054833831357,0.0299375590321825
70,0.4,50,0.12,0.94,0.02,0.04,0.0194610740255668,0.0302864862339982,0.161469122515641,0.0873870903241184,0.0137873140164731,0.017168670587251
80,0.4,50,0.02,0.98,0.14,0.12,0.0104896601919599,0.0160870987074294,0.162079240602299,0.0667420972728803,0.0158153062174273,0.0233031817068233
90,0.4,50,0.06,1,0.2,0.08,0.0113331808681327,0.0162932147664439,0.171935093955716,0.0553731801938839,0.0122792120715846,0.0186050313983838
100,0.4,50,0.06,0.98,0.14,0.1,0.0103725375910337,0.0138856282189295,0.145361674984523,0.0580722608937673,0.0136094258494923,0.0204874328373902
60,0.5,50,0.06,0.96,0.18,0.08,0.016015901094665,0.0227359673157062,0.186464015996154,0.0854810613155331,0.0225175799373405,0.0285547313873093
70,0.5,50,0.1,1,0.12,0.12,0.0161386554946871,0.0344408094245562,0.172561800756039,0.049910124735812,0.0251579426661262,0.0309159094948398
80,0.5,50,0.02,1,0.16,0.06,0.011078945902723,0.0192353333715292,0.167886402709182,0.0680720054713322,0.0132782369953879,0.0175071574661261
90,0.5,50,0.04,1,0.24,0.1,0.0114518367565524,0.0128997555886104,0.199601006615037,0.0712323801030781,0.0160442500094661,0.0174702602773664
100,0.5,50,0.06,1,0.24,0.08,0.00983510163687678,0.014829187827173,0.198963841407943,0.069243791137733,0.0138448868200022,0.0163336844759908
60,0.6,50,0.04,1,0.1,0.08,0.0130577616456515,0.0172824171116749,0.221518981120741,0.0794816008831157,0.0210212145912733,0.0260591025846302
70,0.6,50,0.08,1,0.18,0.08,0.0124641980086711,0.0202595140021826,0.209522310615973,0.0726923643186548,0.0165647067135467,0.0253592029827511
80,0.6,50,0.08,1,0.24,0.1,0.013996666932198,0.019236381397313,0.221783992677271,0.0574171788992169,0.015745518050303,0.0175381894746322
90,0.6,50,0.14,1,0.32,0.1,0.0153407549145687,0.0199199402272115,0.231042626316424,0.0712632670235362,0.0173190201729907,0.0219622572857339
100,0.6,50,0.06,1,0.18,0.1,0.0123172643502699,0.0131264096047295,0.225089053174995,0.0655326063876404,0.0164765432740469,0.0186182284333973
60,0.7,50,0.06,1,0.28,0.1,0.0167240665203216,0.0226347914171324,0.29367735334684,0.0976365206746898,0.0196614744563893,0.0240178672463176
70,0.7,50,0.02,1,0.24,0.16,0.0112935455905328,0.0171171718821561,0.271294845942841,0.0674303237232364,0.0266043741594043,0.0313166436052134
80,0.7,50,0.08,1,0.38,0.06,0.0139204599310752,0.0178498809364529,0.27164500142765,0.0836281185451983,0.0161599724116197,0.0173210855089092
90,0.7,50,0.04,1,0.36,0.18,0.013808931401998,0.0186205180871429,0.283401644824038,0.0649370116274605,0.022314029092572,0.0318027877797589
100,0.7,50,0.12,1,0.42,0.16,0.0119872881626362,0.017765129977492,0.279597648200796,0.054093901681327,0.0138249366779132,0.0172130654290658
10,0.8,50,0.02,0.58,0.02,0.1,0.0906927089092988,0.10433941427807,0.367246665393453,0.182150890078734,0.137857449138386,0.161306360420789
20,0.8,50,0.04,0.9,0.14,0.06,0.0404085211269738,0.0615404390151344,0.348285753579364,0.118792801449571,0.0560165894662153,0.0610819877038871
30,0.8,50,0.14,1,0.12,0.08,0.0465112860961971,0.0585526747574358,0.373611606947349,0.118092132675338,0.0481836787491251,0.0595576529061155
40,0.8,50,0.1,1,0.32,0.08,0.0367079017727679,0.0534869823974349,0.379485547195891,0.0893962980872227,0.0302324598743047,0.0336962670147973
50,0.8,50,0.08,1,0.28,0.14,0.0261653780673303,0.0318704925311455,0.35575885311092,0.0898333371191241,0.0307748316919095,0.0370621261630326
10,0.9,50,0.02,0.76,0.1,0.1,0.093444671069791,0.102839295885114,0.473211184309965,0.145878561803748,0.115976903013619,0.146824765258683
20,0.9,50,0.02,1,0.28,0.08,0.0470903842223189,0.0576010244199227,0.458531485322614,0.108488666676667,0.0623406096777257,0.0716181454748849
30,0.9,50,0.04,1,0.44,0.2,0.0329923428419701,0.0365766845311719,0.437930230819788,0.0925331296040396,0.0652909388290342,0.0758113808771513
40,0.9,50,0.02,1,0.52,0.08,0.0177205181078564,0.0227081071023055,0.459110078535912,0.0836392721591668,0.0349470184632392,0.0401768794264742
50,0.9,50,0.06,1,0.52,0.26,0.0177654582664384,0.0338141608670171,0.447259233826949,0.0663635731328301,0.0496868538435059,0.0492275204207676
10,1,50,0.04,0.96,0.2,0.08,0.0929990475450463,0.117604334078841,0.577720977027369,0.119923897826517,0.10601032461671,0.132358892666186
20,1,50,0.04,1,0.48,0.24,0.0545905937463213,0.0617635029646033,0.560812593434329,0.111503641109397,0.109397393355712,0.101030374088986
30,1,50,0.08,1,0.68,0.18,0.0370385558358496,0.04625074974875,0.547137868983194,0.0807191554612936,0.0620975382749521,0.073379874343249
40,1,50,0.14,1,0.7,0.3,0.0361679135091608,0.0442711361252098,0.539900301688952,0.0683076468152951,0.0679847219900144,0.0648528716305704
50,1,50,0.06,1,0.72,0.4,0.021423038515919,0.039015641498338,0.527657583493258,0.0630489003692409,0.0766995756452558,0.0726394583491773
60,0.8,50,0.02,1,0.44,0.08,0.0132272284607966,0.0170915000407823,0.355938686249887,0.0774918763430417,0.02663854462861,0.0263155207881199
70,0.8,50,0.04,1,0.44,0.12,0.0163297282889951,0.0206134004663432,0.359254327586515,0.0768615513387649,0.023238028563786,0.0314372626040084
80,0.8,50,0.04,1,0.42,0.08,0.0113407237804645,0.0164631909949576,0.348121408830511,0.0577470889256537,0.015380835456715,0.0189231172351997
90,0.8,50,0.1,1,0.66,0.32,0.0155739641717541,0.021254882784542,0.356491252039346,0.0591384294616729,0.0303722382424454,0.0284963995310961
100,0.8,50,0.04,1,0.52,0.18,0.00904505577199135,0.0135770506451421,0.347754335019496,0.059538612330136,0.0202087577362761,0.0235162740790078
60,0.9,50,0.08,1,0.64,0.34,0.021447914701489,0.0300250110707326,0.438167136941392,0.0801561540929946,0.0481649650199977,0.0424187244828248
70,0.9,50,0.04,1,0.72,0.26,0.0122117779904884,0.0161584711025499,0.454185296614473,0.0616012892330105,0.0387640876319515,0.0344155282528117
80,0.9,50,0.06,1,0.8,0.3,0.0136984211990429,0.0160665175983316,0.459177040348613,0.0677722584966737,0.0378665370173373,0.0353862048964621
90,0.9,50,0.06,1,0.84,0.38,0.0109217900370031,0.0153365030109099,0.445062735473257,0.05644677245101,0.0442225530643524,0.0451310333608157
100,0.9,50,0.08,1,0.8,0.38,0.0106226613024363,0.01339472213986,0.443830013484574,0.0421786930765131,0.0353214855755942,0.0275287749941747
60,1,50,0.1,1,0.72,0.34,0.0217350374323734,0.0308478379880857,0.543196729818411,0.0558671587340209,0.0576458829311338,0.0571285898859723
70,1,50,0.06,1,0.8,0.48,0.0153875083576613,0.0183923060567318,0.531695036915769,0.0481498809190945,0.0652991989259935,0.0507097453638192
80,1,50,0.12,1,0.94,0.64,0.021385547726011,0.0288165543602858,0.526155954715279,0.0406113439812578,0.0699584147283754,0.0481489108000705
90,1,50,0.06,1,0.82,0.5,0.0127123103151839,0.0146571025416205,0.535240984292939,0.043737929259661,0.0475748878938927,0.0367408596451692
100,1,50,0.14,1,0.96,0.64,0.0174575475839419,0.0208883658202402,0.536755498698287,0.0445849639683605,0.0628122499074699,0.0446726303496291
